,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9755275446789088,0.9720834996210077,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.2332014073328229
Decision Tree,0.9907482181103192,0.8914911015756893,0.1320754716981132,0.7857142857142857,0.2261380323054332,0.31985773968004644
KNN,0.9995435553526912,0.9437426067782205,0.9186046511627907,0.8061224489795918,0.8586956521739131,0.860305467810002
Naive Bayes,0.9764053228468101,0.963247971529636,0.058781869688385266,0.8469387755102041,0.10993377483443709,0.21951864557276174
Random Forest,0.999403110845827,0.9717340263342253,0.8404255319148937,0.8061224489795918,0.8229166666666666,0.822797029249209
XGBoost,0.9994908886626171,0.9808038226545543,0.8631578947368421,0.8367346938775511,0.8497409326424871,0.8495889991814967
